feature,coefficient,abs_coef
trip_distance_mi,7.397814350849113,7.397814350849113
pickup_airport_LGA,1.2272411689419174,1.2272411689419174
y,1.0021191885036234,1.0021191885036234
dropoff_airport_LGA,0.950963920766471,0.950963920766471
pickup_airport_JFK,0.8278394296125802,0.8278394296125802
dropoff_airport_JFK,0.6132797301486997,0.6132797301486997
dropoff_longitude,-0.44555099440373563,0.44555099440373563
pickup_longitude,-0.4440246333560943,0.4440246333560943
time_bin_midday,0.38310235568263823,0.38310235568263823
dropoff_latitude,-0.3413488237462496,0.3413488237462496
pickup_latitude,-0.25578548842604615,0.25578548842604615
weekday_rush,0.1924383498138047,0.1924383498138047
time_bin_late_night,-0.09707209542883881,0.09707209542883881
time_bin_evening_rush,0.08364239106123915,0.08364239106123915
passenger_count,0.05896042666157548,0.05896042666157548
fri_sat_peak_night,0.04322695181935827,0.04322695181935827
time_bin_evening,-0.036760070149469026,0.036760070149469026
time_bin_morning_rush,0.0,0.0
